,City,Rank,Company,Industry,Funding,Employees,Employee_Growth,Current_Jobs,Job_Links,job_url
0,Atlanta,1,SnapNurse,HRTech,,344,648%,1,http://www.linkedin.com/company/snapnurse/jobs,https://www.linkedin.com/jobs/view/2787120903/?refId=qb4ioAxRp9bhpWt6Eflmow%3D%3D&trackingId=TT6MLA7CUw8wiN%2B80NeWIQ%3D%3D&trk=d_flagship3_company
1,Atlanta,1,SnapNurse,HRTech,,344,648%,1,http://www.linkedin.com/company/snapnurse/jobs,https://www.linkedin.com/jobs/view/2791491729/?refId=qb4ioAxRp9bhpWt6Eflmow%3D%3D&trackingId=m4RxQUC1f605t4xo1GNlaw%3D%3D&trk=d_flagship3_company
2,Atlanta,1,SnapNurse,HRTech,,344,648%,1,http://www.linkedin.com/company/snapnurse/jobs,https://www.linkedin.com/jobs/view/2816885680/?refId=qb4ioAxRp9bhpWt6Eflmow%3D%3D&trackingId=7LC3RmwkUiXLrUlMQPZo6A%3D%3D&trk=d_flagship3_company
3,Atlanta,1,SnapNurse,HRTech,,344,648%,1,http://www.linkedin.com/company/snapnurse/jobs,https://www.linkedin.com/jobs/view/2818540382/?refId=qb4ioAxRp9bhpWt6Eflmow%3D%3D&trackingId=9t0iS1LQA8KK9jTKU%2Bvs%2Fw%3D%3D&trk=d_flagship3_company
4,Atlanta,1,SnapNurse,HRTech,,344,648%,1,http://www.linkedin.com/company/snapnurse/jobs,https://www.linkedin.com/jobs/view/2797744025/?refId=qb4ioAxRp9bhpWt6Eflmow%3D%3D&trackingId=%2F1HH3NYC%2BeSGZJC1eGhkFw%3D%3D&trk=d_flagship3_company
5,Atlanta,1,SnapNurse,HRTech,,344,648%,1,http://www.linkedin.com/company/snapnurse/jobs,https://www.linkedin.com/jobs/view/2796155889/?refId=qb4ioAxRp9bhpWt6Eflmow%3D%3D&trackingId=Atc%2BtjHcuZTVoLH0i8BgJw%3D%3D&trk=d_flagship3_company
6,Atlanta,2,Greenlight Fina...,Fintech,$556.5M,264,53%,23,http://www.linkedin.com/company/greenlightcard/jobs,https://www.linkedin.com/jobs/view/2784021809/?refId=yrNdNfnWKrsQ3bS0j%2Fip2w%3D%3D&trackingId=mB8uVqL05k%2FCvzew8GI0zQ%3D%3D&trk=d_flagship3_company
7,Atlanta,2,Greenlight Fina...,Fintech,$556.5M,264,53%,23,http://www.linkedin.com/company/greenlightcard/jobs,https://www.linkedin.com/jobs/view/2798124543/?refId=yrNdNfnWKrsQ3bS0j%2Fip2w%3D%3D&trackingId=7qaQUv5zGMOVZKrd9wJJ6g%3D%3D&trk=d_flagship3_company
8,Atlanta,2,Greenlight Fina...,Fintech,$556.5M,264,53%,23,http://www.linkedin.com/company/greenlightcard/jobs,https://www.linkedin.com/jobs/view/2782610358/?refId=yrNdNfnWKrsQ3bS0j%2Fip2w%3D%3D&trackingId=xw%2F0fk1AYxFm82eMr%2FQ7iw%3D%3D&trk=d_flagship3_company
9,Atlanta,2,Greenlight Fina...,Fintech,$556.5M,264,53%,23,http://www.linkedin.com/company/greenlightcard/jobs,https://www.linkedin.com/jobs/view/2800206708/?refId=yrNdNfnWKrsQ3bS0j%2Fip2w%3D%3D&trackingId=ZUoZ4fI5C4qBK%2Fos%2Fa9JYg%3D%3D&trk=d_flagship3_company
