,Unnamed: 0,Job_Links,Job_title,Location,Company,Job_Level,JobRecruit_Status,Job_Recruiter
0,0,https://www.linkedin.com/jobs/view/2851713701/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=547D9u645pk%2BPAh%2BfTYnvw%3D%3D&trackingId=YPyXd36uUcg6QlgVYkETRw%3D%3D&trk=flagship3_search_srp_jobs,Intern: Data Science,"Palo Alto, CA",Varian,Full-time · Internship,Actively recruiting,No Recruiter details found
1,1,https://www.linkedin.com/jobs/view/2848968466/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=547D9u645pk%2BPAh%2BfTYnvw%3D%3D&trackingId=XSppmZsy7gCmWUaEYv8J1A%3D%3D&trk=flagship3_search_srp_jobs,Sr Data Scientist - Testing & Measurement,"Brooklyn Park, MN",Target,"$77,000/yr - $125,000/yr (LinkedIn est.) · Full-time · Associate",Actively recruiting,No Recruiter details found
2,2,https://www.linkedin.com/jobs/view/2839344350/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=547D9u645pk%2BPAh%2BfTYnvw%3D%3D&trackingId=l9uVmE7rxVzOdzqJnz%2BC9A%3D%3D&trk=flagship3_search_srp_jobs,Senior ML Engineer,"New York, NY",HelloFresh,"$123,000/yr - $202,000/yr (LinkedIn est.) · Full-time · Associate",Actively recruiting,No Recruiter details found
3,3,https://www.linkedin.com/jobs/view/2848645659/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=547D9u645pk%2BPAh%2BfTYnvw%3D%3D&trackingId=ZuXTskeLmf50k7HuOhnEHA%3D%3D&trk=flagship3_search_srp_jobs,"Staff Machine Learning Engineer, Conversational AI",United States,Ginger,Full-time · Associate,Actively recruiting,No Recruiter details found
4,4,https://www.linkedin.com/jobs/view/2849018116/?eBP=JOB_SEARCH_ORGANIC&refId=547D9u645pk%2BPAh%2BfTYnvw%3D%3D&trackingId=Zs8Lv%2B%2Fz8zGBmzuPLDfGQQ%3D%3D&trk=flagship3_search_srp_jobs,"AI Engineer, Endless Studios",United States,E-Line Media,Full-time,Not Recruiting Actively,Carolina Torres (she/her)
5,5,https://www.linkedin.com/jobs/view/2848646345/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=547D9u645pk%2BPAh%2BfTYnvw%3D%3D&trackingId=FOMnRehcQ0YpSBisGmHEWw%3D%3D&trk=flagship3_search_srp_jobs,Machine Learning Engineer - Conversational AI,United States,Ginger,Full-time · Entry level,Actively recruiting,No Recruiter details found
6,6,https://www.linkedin.com/jobs/view/2852117346/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=547D9u645pk%2BPAh%2BfTYnvw%3D%3D&trackingId=lJEiS0R1kwJyMPVOfW3zzg%3D%3D&trk=flagship3_search_srp_jobs,Data Scientist,"Irvine, CA",Apex Systems,"$85,000/yr - $143,000/yr (LinkedIn est.) · Full-time · Entry level",Actively recruiting,No Recruiter details found
7,7,https://www.linkedin.com/jobs/view/2848292023/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=547D9u645pk%2BPAh%2BfTYnvw%3D%3D&trackingId=rvSnNVQM5KjBRhD9zttQ1A%3D%3D&trk=flagship3_search_srp_jobs,Data Scientist,"Boston, NY",Santander UK,"$59,000/yr - $95,000/yr (LinkedIn est.) · Full-time · Entry level",Actively recruiting,No Recruiter details found
8,8,https://www.linkedin.com/jobs/view/2849750087/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=547D9u645pk%2BPAh%2BfTYnvw%3D%3D&trackingId=hMWCtjuGpkVD4TSxZyWOyA%3D%3D&trk=flagship3_search_srp_jobs,Machine Learning Engineer,"Malvern, PA",Vanguard,Full-time · Associate,Actively recruiting,No Recruiter details found
9,9,https://www.linkedin.com/jobs/view/2850657926/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=IN_NETWORK&refId=547D9u645pk%2BPAh%2BfTYnvw%3D%3D&trackingId=TyXHYVX0amyJ21lHc3NUDA%3D%3D&trk=flagship3_search_srp_jobs,NLP Developer,"Charlotte, NC",Bank of America,Full-time · Entry level,Actively recruiting,No Recruiter details found
10,10,https://www.linkedin.com/jobs/view/2848656719/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=547D9u645pk%2BPAh%2BfTYnvw%3D%3D&trackingId=%2BpgcBHEo943Nm%2Bbr23KC6w%3D%3D&trk=flagship3_search_srp_jobs,Data Scientist- Ref# 490,"Plano, TX",Samsung Electronics America,"$93,000/yr - $146,000/yr (LinkedIn est.) · Full-time · Entry level",Actively recruiting,No Recruiter details found
11,11,https://www.linkedin.com/jobs/view/2847973878/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=IN_NETWORK&refId=547D9u645pk%2BPAh%2BfTYnvw%3D%3D&trackingId=8j7%2BQLrUhbwQBDbq6kbWoA%3D%3D&trk=flagship3_search_srp_jobs,Tester / Technical Writer,"Waterville, ME",CGI,Full-time · Entry level,Actively recruiting,No Recruiter details found
