Sub_Category,Link,Actual_Count
AIO Accessories,https://www.com1.com.au/systems/aio-accessories-22.html,1
AIOS,https://www.com1.com.au/systems/aios-23.html,24
Desktop,https://www.com1.com.au/systems/desktop-66.html,44
mini pc,https://www.com1.com.au/systems/mini-pc-141.html,12
gaming,https://www.com1.com.au/notebooks/gaming-85.html,34
mainstream,https://www.com1.com.au/notebooks/mainstream-130.html,29
prosumer,https://www.com1.com.au/notebooks/prosumer.html,6
Workstation,https://www.com1.com.au/notebooks/workstation-197.html,9
Accessories,https://www.com1.com.au/notebooks/accessories-17.html,48
19-24-monitors,https://www.com1.com.au/monitors-146/19-24-monitors.html,10
25-43-monitors,https://www.com1.com.au/monitors-146/25-43-monitors.html,33
4k-monitors,https://www.com1.com.au/monitors-146/4k-monitors.html,1
curved-monitors-54,https://www.com1.com.au/monitors-146/curved-monitors-54.html,26
amd-24,https://www.com1.com.au/graphics/amd-24.html,11
nvidia-155,https://www.com1.com.au/graphics/nvidia-155.html,73
amd-fm2-28,https://www.com1.com.au/motherboards/amd-fm2-28.html,0
amd-am4-26,https://www.com1.com.au/motherboards/amd-am4-26.html,32
strx4,https://www.com1.com.au/motherboards/strx4.html,0
intel-skt1150-111,https://www.com1.com.au/motherboards/intel-skt1150-111.html,1
intel-skt1151-113,https://www.com1.com.au/motherboards/intel-skt1151-113.html,2
intel-skt1200,https://www.com1.com.au/motherboards/intel-skt1200.html,48
intel-skt2011-114,https://www.com1.com.au/motherboards/intel-skt2011-114.html,0
intel-skt2066-116,https://www.com1.com.au/motherboards/intel-skt2066-116.html,0
dimm-71,https://www.com1.com.au/memory/dimm-71.html,54
sodimm-180,https://www.com1.com.au/memory/sodimm-180.html,12
25inch-drive-12,https://www.com1.com.au/hdds-ssds-1/25inch-drive-12.html,4
hdds-external-107,https://www.com1.com.au/hdds-ssds-1/hdds-external-107.html,32
ssds-external-184,https://www.com1.com.au/hdds-ssds-1/ssds-external-184.html,20
ssds-internal-185,https://www.com1.com.au/hdds-ssds-1/ssds-internal-185.html,68
amd-tr4,https://www.com1.com.au/processors/amd-tr4.html,1
intel-skt1700,https://www.com1.com.au/processors/intel-skt1700.html,4
amd-am4-27,https://www.com1.com.au/processors/amd-am4-27.html,6
intel-skt1200,https://www.com1.com.au/processors/intel-skt1200.html,26
converters,https://www.com1.com.au/cables-43/converters.html,1
accessories,https://www.com1.com.au/cables-43/accessories.html,2
case-fans,https://www.com1.com.au/accessories-1-19/case-fans.html,1
adapters,https://www.com1.com.au/accessories-1-19/adapters.html,3
accessories,https://www.com1.com.au/accessories-1-19/accessories.html,1
card-readers-44,https://www.com1.com.au/card-readers-44.html,0
desktop-69,https://www.com1.com.au/cases-46/desktop-69.html,2
gaming-84,https://www.com1.com.au/cases-46/gaming-84.html,35
mini-pc-142,https://www.com1.com.au/cases-46/mini-pc-142.html,7
server-178,https://www.com1.com.au/cases-46/server-178.html,2
tower-189,https://www.com1.com.au/cases-46/tower-189.html,5
accessories,https://www.com1.com.au/controllers-49/accessories.html,1
ssd-heatsink-fan,https://www.com1.com.au/cooling-lighting-50/ssd-heatsink-fan.html,0
accessories,https://www.com1.com.au/cooling-lighting-50/accessories.html,1
gaming,https://www.com1.com.au/cooling-lighting-50/gaming.html,6
case-fans-45,https://www.com1.com.au/cooling-lighting-50/case-fans-45.html,16
liquid-cooling-122,https://www.com1.com.au/cooling-lighting-50/liquid-cooling-122.html,20
enclosures-storage-74,https://www.com1.com.au/enclosures-storage-74.html,5
flash-drives-80,https://www.com1.com.au/flash-storage-81/flash-drives-80.html,6
micro-sd-137,https://www.com1.com.au/flash-storage-81/micro-sd-137.html,14
usb-192,https://www.com1.com.au/flash-storage-81/usb-192.html,13
usb-type-c-193,https://www.com1.com.au/flash-storage-81/usb-type-c-193.html,5
gaming,https://www.com1.com.au/gaming-chairs-91/gaming.html,0
gaming-89,https://www.com1.com.au/headsets-mics-108/gaming-89.html,12
usb,https://www.com1.com.au/hubs-109/usb.html,0
gaming-87,https://www.com1.com.au/joysticks-gamepads-118/gaming-87.html,10
gaming,https://www.com1.com.au/keyboards-mice-120/gaming-90.html,0
keyboards,https://www.com1.com.au/keyboards-mice-120/keyboards-119.html,4
mice,https://www.com1.com.au/keyboards-mice-120/mice-136.html,1
mouse-pads-148,https://www.com1.com.au/keyboards-mice-120/mouse-pads-148.html,0
